"Table","Program","Study","Treatment.Cluster","Control.Cluster","Total.Cluster","Unit","Treatment.N","Control.N","Total.N","Posttest","MeasureDomain","Effect Size"
"2.1","Early Reading Intervention","Simmons et al., 2011","31","26","57","teachers","112","94","206","DIBELS - NWF","Alphabetics","0.33"
"2.1","Early Reading Intervention","Simmons et al., 2011","31","26","57","teachers","112","94","206","DIBELS - PSF","Alphabetics","0.47"
"2.1","Early Reading Intervention","Simmons et al., 2011","31","26","57","teachers","112","94","206","Passage Comprehension","Comprehension","0.07"
"2.1","Early Reading Intervention","Simmons et al., 2011","31","26","57","teachers","112","94","206","TOWRE PDE","Alphabetics","0.26"
"2.1","Early Reading Intervention","Simmons et al., 2011","31","26","57","teachers","112","94","206","TOWRE SWE","Alphabetics","0.05"
"2.1","Early Reading Intervention","Simmons et al., 2011","31","26","57","teachers","112","94","206","WRMT-Word Attack","Alphabetics","0.51"
"2.1","Early Reading Intervention","Simmons et al., 2011","31","26","57","teachers","112","94","206","WRMT-Word ID","Alphabetics","0.25"
"2.1","Lindamood Phonemic Sequencing (LiPS)/ Auditory Discrimination in Depth (ADD)","Torgesen et al., 2009",,,"0",,"35","39","74","CTOPP-Blending","Alphabetics","0.43"
"2.1","Lindamood Phonemic Sequencing (LiPS)/ Auditory Discrimination in Depth (ADD)","Torgesen et al., 2009",,,"0",,"35","39","74","CTOPP-Elision","Alphabetics","0.59"
"2.1","Lindamood Phonemic Sequencing (LiPS)/ Auditory Discrimination in Depth (ADD)","Torgesen et al., 2009",,,"0",,"35","39","74","CTOPP-Segmenting","Alphabetics","0.85"
"2.1","Lindamood Phonemic Sequencing (LiPS)/ Auditory Discrimination in Depth (ADD)","Torgesen et al., 2009",,,"0",,"35","39","74","TOWRE-PDE","Alphabetics","0.79"
"2.1","Lindamood Phonemic Sequencing (LiPS)/ Auditory Discrimination in Depth (ADD)","Torgesen et al., 2009",,,"0",,"35","39","74","TOWRE-WRE","Alphabetics","0.5"
"2.1","Lindamood Phonemic Sequencing (LiPS)/ Auditory Discrimination in Depth (ADD)","Torgesen et al., 2009",,,"0",,"35","39","74","WRMT-Passage Comprehension","Comprehension","0.45"
"2.1","Lindamood Phonemic Sequencing (LiPS)/ Auditory Discrimination in Depth (ADD)","Torgesen et al., 2009",,,"0",,"35","39","74","WRMT-WA","Alphabetics","0.93"
"2.1","Lindamood Phonemic Sequencing (LiPS)/ Auditory Discrimination in Depth (ADD)","Torgesen et al., 2009",,,"0",,"35","39","74","WRMT-WID","Alphabetics","0.62"
"2.1","Read, Write, and Type-Small Group","Torgesen et al. (2009)",,,"0",,"34","39","73","CTOPP-Blending","Alphabetics","0.69"
"2.1","Read, Write, and Type-Small Group","Torgesen et al. (2009)",,,"0",,"34","39","73","CTOPP-Elision","Alphabetics","0.27"
"2.1","Read, Write, and Type-Small Group","Torgesen et al. (2009)",,,"0",,"34","39","73","CTOPP-Segmenting","Alphabetics","0.64"
"2.1","Read, Write, and Type-Small Group","Torgesen et al. (2009)",,,"0",,"34","39","73","TOWRE-PDE","Alphabetics","0.25"
"2.1","Read, Write, and Type-Small Group","Torgesen et al. (2009)",,,"0",,"34","39","73","TOWRE-WRE","Alphabetics","0.21"
"2.1","Read, Write, and Type-Small Group","Torgesen et al. (2009)",,,"0",,"34","39","73","WRMT-Passage Comprehension","Comprehension","0.32"
"2.1","Read, Write, and Type-Small Group","Torgesen et al. (2009)",,,"0",,"34","39","73","WRMT-WA","Alphabetics","0.58"
"2.1","Read, Write, and Type-Small Group","Torgesen et al. (2009)",,,"0",,"34","39","73","WRMT-WID","Alphabetics","0.4"
"2.1","Responsive Reading Instruction","Denton et al. (2010)",,,"0",,"182","240","422","CTOPP-Blending","Alphabetics","0.27"
"2.1","Responsive Reading Instruction","Denton et al. (2010)",,,"0",,"182","240","422","CTOPP-Segmenting","Alphabetics","0.12"
"2.1","Responsive Reading Instruction","Denton et al. (2010)",,,"0",,"182","240","422","ORF","Fluency","0.45"
"2.1","Responsive Reading Instruction","Denton et al. (2010)",,,"0",,"182","240","422","TOWRE Phonemic Decoding","Alphabetics","0.44"
"2.1","Responsive Reading Instruction","Denton et al. (2010)",,,"0",,"182","240","422","TOWRE SWE","Alphabetics","0.47"
"2.1","Responsive Reading Instruction","Denton et al. (2010)",,,"0",,"182","240","422","WJ LWID","Alphabetics","0.72"
"2.1","Responsive Reading Instruction","Denton et al. (2010)",,,"0",,"182","240","422","WJ Passage Comp","Comprehension","0.53"
"2.1","Responsive Reading Instruction","Denton et al. (2010)",,,"0",,"182","240","422","WJ WA","Alphabetics","0.46"
"2.1","Guided Reading","Denton et al. (2014)",,,"0",,"70","66","136","Gates MacGinitie Passage Comp","Comprehension","0.16"
"2.1","Guided Reading","Denton et al. (2014)",,,"0",,"70","66","136","TOSREC","Fluency","0.22"
"2.1","Guided Reading","Denton et al. (2014)",,,"0",,"70","66","136","TOWRE","Alphabetics","0.19"
"2.1","Guided Reading","Denton et al. (2014)",,,"0",,"70","66","136","TPRI Passage Reading Fluency","Fluency","0.17"
"2.1","Guided Reading","Denton et al. (2014)",,,"0",,"70","66","136","WJ LWID","Alphabetics","0.19"
"2.1","Guided Reading","Denton et al. (2014)",,,"0",,"70","66","136","WJ Passage Comp","Comprehension","-0.05"
"2.1","Guided Reading","Denton et al. (2014)",,,"0",,"70","66","136","WJ WA","Alphabetics","0.12"
"2.1","Explicit Intervention (Sound Partners + Quick Reads + Comprehension)","Denton et al. (2014)",,,"0",,"70","66","136","Gates MacGinitie Passage Comp","Comprehension","0.37"
"2.1","Explicit Intervention (Sound Partners + Quick Reads + Comprehension)","Denton et al. (2014)",,,"0",,"70","66","136","TOSREC","Fluency","0.4"
"2.1","Explicit Intervention (Sound Partners + Quick Reads + Comprehension)","Denton et al. (2014)",,,"0",,"70","66","136","TOWRE","Alphabetics","0.39"
"2.1","Explicit Intervention (Sound Partners + Quick Reads + Comprehension)","Denton et al. (2014)",,,"0",,"70","66","136","TPRI Passage Reading Fluency","Fluency","0.48"
"2.1","Explicit Intervention (Sound Partners + Quick Reads + Comprehension)","Denton et al. (2014)",,,"0",,"70","66","136","WJ LWID","Alphabetics","0.36"
"2.1","Explicit Intervention (Sound Partners + Quick Reads + Comprehension)","Denton et al. (2014)",,,"0",,"70","66","136","WJ Passage Comp","Comprehension","0.38"
"2.1","Explicit Intervention (Sound Partners + Quick Reads + Comprehension)","Denton et al. (2014)",,,"0",,"70","66","136","WJ WA","Alphabetics","0.38"
"2.1","Burst","Pappas et al. (2015)","29","28","57","clusters","2003","2019","4022","DIBELS Next","Achievement","0.11"
"2.1","Burst","Pappas et al. (2015)","29","28","57","clusters","1816","1795","3611","STAR","Achievement","0.09"
"2.1","Passport to Literacy","Wanzek et al. (2017)",,,"0",,"226","225","451","GMRT RC","Comprehension","0.28"
"2.1","Passport to Literacy","Wanzek et al. (2017)",,,"0",,"226","225","451","GMRT Voc","Comprehension","0.07"
"2.1","Passport to Literacy","Wanzek et al. (2017)",,,"0",,"226","225","451","WJ LWID","Alphabetics","0.05"
"2.1","Passport to Literacy","Wanzek et al. (2017)",,,"0",,"226","225","451","WJ PC","Comprehension","0.19"
"2.1","Passport to Literacy","Wanzek et al. (2017)",,,"0",,"226","225","451","WJ WA","Alphabetics","0.01"
"2.1","RR Intervention","Solari et al (2018)","13","8","21","clusters","61","37","98","DIBELS - ORF","Fluency","0.42"
"2.1","RR Intervention","Solari et al (2018)","13","8","21","clusters","61","37","98","WJ LWID","Alphabetics","0.45"
"2.1","RR Intervention","Solari et al (2018)","13","8","21","clusters","61","37","98","WJ PC","Comprehension","0.57"
"2.1","RR Intervention","Solari et al (2018)","13","8","21","clusters","61","37","98","WJ WA","Alphabetics","0.41"
"2.1","Small Group Tutoring","Vaughn et al. (2019)",,,"0",,"127","125","252","Gates McGinitie Reading Comprehension","Comprehension","0.14"
"2.1","Small Group Tutoring","Vaughn et al. (2019)",,,"0",,"127","125","252","TOSREC","Fluency","-0.03"
"2.1","Small Group Tutoring","Vaughn et al. (2019)",,,"0",,"126","123","249","TOWRE SWE","Fluency","0.08"
"2.1","Small Group Tutoring","Vaughn et al. (2019)",,,"0",,"126","124","250","WJ-III LWID","Alphabetics","0.06"
"2.1","Small Group Tutoring","Vaughn et al. (2019)",,,"0",,"125","123","248","WJ-III Passage Comprehension","Comprehension","-0.02"
"2.2","Quick Reads","Vadasy & Sanders (2008b)
[Journal of Educational Psychology]",,,"0",,"82","80","162","DIBELS - ORF","Fluency","0.34"
"2.2","Quick Reads","Vadasy & Sanders (2008b)
[Journal of Educational Psychology]",,,"0",,"82","80","162","GORT-Comprehension","Comprehension","0.2"
"2.2","Quick Reads","Vadasy & Sanders (2008b)
[Journal of Educational Psychology]",,,"0",,"82","80","162","GORT-Rate","Fluency","0.35"
"2.2","Quick Reads","Vadasy & Sanders (2008b)
[Journal of Educational Psychology]",,,"0",,"82","80","162","TOWRE-WRE","Alphabetics","0.16"
"2.2","Quick Reads","Vadasy & Sanders (2008b)
[Journal of Educational Psychology]",,,"0",,"82","80","162","WRMT-WID","Alphabetics","0.28"
"2.2","Quick Reads","Vadasy & Sanders (2009)",,,"0",,"98","104","202","DIBELS - ORF","Fluency","0.22"
"2.2","Quick Reads","Vadasy & Sanders (2009)",,,"0",,"98","104","202","GORT-Comprehension","Comprehension","-0.03"
"2.2","Quick Reads","Vadasy & Sanders (2009)",,,"0",,"98","104","202","GORT-Fluency","Fluency","0.38"
"2.2","Quick Reads","Vadasy & Sanders (2009)",,,"0",,"98","104","202","WRMT-Comp","Comprehension","0.31"
"2.2","Quick Reads","Vadasy & Sanders (2009)",,,"0",,"98","104","202","WRMT-LWID","Alphabetics","0.03"
"2.2","Targeted Intervention","Wang & Algozzine (2008)","4","2","6","schools","101","38","139","DIBELS - NWF","Alphabetics","-0.51"
"2.2","Targeted Intervention","Wang & Algozzine (2008)","4","2","6","schools","101","38","139","DIBELS - PSF","Alphabetics","0.44"
"2.2","Targeted Intervention","Wang & Algozzine (2008)","4","2","6","schools","101","38","139","WRMT-Passage Comprehension","Comprehension","0.13"
"2.2","Targeted Intervention","Wang & Algozzine (2008)","4","2","6","schools","101","38","139","WRMT-WA","Alphabetics","0.43"
"2.2","Targeted Intervention","Wang & Algozzine (2008)","4","2","6","schools","101","38","139","WRMT-WID","Alphabetics","0.14"
"2.2","Schools and Homes in Partnership (SHIP)","Gunn et al. (2000)",,,"0",,"94","95","189","ORF","Fluency","0.46"
"2.2","Schools and Homes in Partnership (SHIP)","Gunn et al. (2000)",,,"0",,"96","99","195","WJ: LWID","Alphabetics","0.36"
"2.2","Schools and Homes in Partnership (SHIP)","Gunn et al. (2000)",,,"0",,"84","85","169","WJ: PC","Comprehension","0.32"
"2.2","Schools and Homes in Partnership (SHIP)","Gunn et al. (2000)",,,"0",,"84","86","170","WJ: Vocab","Comprehension","0.38"
"2.2","Schools and Homes in Partnership (SHIP)","Gunn et al. (2000)",,,"0",,"96","99","195","WJ: WA","Alphabetics","1.19"
"3","Ladders to Literacy","Fuchs et al. (2001)","11","11","22","teachers","57","58","115","WJ-WA","Alphabetics","0.31"
"3","Ladders to Literacy","Fuchs et al. (2001)","11","11","22","teachers","57","58","115","WJ-WID","Alphabetics","0.37"
"3","Cooperative Integrated Reading and Competition","Stevens & Slavin (1995a)","3","4","7","schools","72","65","137","CAT-Comprehension","Comprehension","0.32"
"3","Cooperative Integrated Reading and Competition","Stevens & Slavin (1995a)","3","4","7","schools","72","65","137","CAT-Vocabulary","Comprehension","0.37"
"3","Cooperative Integrated Reading and Competition","Stevens & Slavin (1995b)","2","3","5","schools","40","36","76","CAT-Comprehension","Comprehension",".85"
"3","Cooperative Integrated Reading and Competition","Stevens & Slavin (1995b)","2","3","5","schools","40","36","76","CAT-Vocabulary","Comprehension",".76"
"3","Cooperative Integrated Reading and Competition","Hanselman & Borman (2013)","17","18","35","schools","1430","1430","2860","GRADE","Comprehension","-0.01"
"3","PALS","Mathes, Torgesen, & Allor (2001)","12","12","24","classes","42","33","75","CTOPP-Elision","Alphabetics","0.43"
"3","PALS","Mathes, Torgesen, & Allor (2001)","12","12","24","classes","42","33","75","CTOPP-Segmenting","Alphabetics","0.64"
"3","PALS","Mathes, Torgesen, & Allor (2001)","12","12","24","classes","42","33","75","TERA-2","Alphabetics","0.56"
"3","PALS","Mathes, Torgesen, & Allor (2001)","12","12","24","classes","42","33","75","TOWRE PDE","Alphabetics","0.58"
"3","PALS","Mathes, Torgesen, & Allor (2001)","12","12","24","classes","42","33","75","TOWRE SWE","Alphabetics","0.37"
"3","PALS","Mathes, Torgesen, & Allor (2001)","12","12","24","classes","42","33","75","WRMT-Passage Comprehension","Comprehension","0.74"
"3","PALS","Mathes, Torgesen, & Allor (2001)","12","12","24","classes","42","33","75","WRMT-WA","Alphabetics","0.71"
"3","PALS","Mathes, Torgesen, & Allor (2001)","12","12","24","classes","42","33","75","WRMT-WID","Alphabetics","0.59"
"4","Success for All","Quint et al. (2015)","19","18","37","schools","380","379","759","TOWRE","Alphabetics","0.19"
"4","Success for All","Quint et al. (2015)","19","18","37","schools","380","379","759","WJ-LWID","Alphabetics","0.17"
"4","Success for All","Quint et al. (2015)","19","18","37","schools","380","379","759","WJ-Passage Comp","Comprehension","0.14"
"4","Success for All","Quint et al. (2015)","19","18","37","schools","380","379","759","WJ-WA","Alphabetics","0.23"
"4","Success for All","Madden et al. (1993)","5","5","10","schools","171","171","342","Oral Reading","Fluency","0.87"
"4","Success for All","Madden et al. (1993)","5","5","10","schools","171","171","342","WJ-LWID","Alphabetics","0.7"
"4","Success for All","Madden et al. (1993)","5","5","10","schools","171","171","342","WJ-WA","Alphabetics","1.2"
"4","Success for All","Ross & Casey (1998b)","3","5","8","schools","36","56","92","DORT","Fluency","0.32"
"4","Success for All","Ross & Casey (1998b)","3","5","8","schools","36","56","92","WJ-Passage Comp","Comprehension","0.23"
"4","Success for All","Ross & Casey (1998b)","3","5","8","schools","36","56","92","WJ-WA","Alphabetics","0.56"
"4","Success for All","Ross & Casey (1998b)","3","5","8","schools","36","56","92","WJ-WID","Alphabetics","0.29"
"4","Enhanced Core Reading Instruction","Smith et al. (2016)","22","22","44","schools","355","388","743","DIBELS - NWF","Alphabetics","0.19"
"4","Enhanced Core Reading Instruction","Smith et al. (2016)","22","22","44","schools","355","388","743","DIBELS - ORF","Fluency","0.12"
"4","Enhanced Core Reading Instruction","Smith et al. (2016)","22","22","44","schools","363","386","749","SAT-10-Sentence Reading","Achievement","0.18"
"4","Enhanced Core Reading Instruction","Smith et al. (2016)","22","22","44","schools","362","387","749","SAT-10-Word Reading","Achievement","0.24"
"4","Enhanced Core Reading Instruction","Smith et al. (2016)","22","22","44","schools","348","381","729","WRMT-WA","Alphabetics","0.32"
"4","Enhanced Core Reading Instruction","Smith et al. (2016)","22","22","44","schools","348","381","729","WRMT-WID","Alphabetics","0.24"
"5","System 44","Beam, Faddis, & Hahn (2011)",,,"0",,"98","99","197","CTOPP-Elision","Alphabetics","0.17"
"5","System 44","Beam, Faddis, & Hahn (2011)",,,"0",,"98","99","197","TOSREC","Fluency","-0.04"
"5","System 44","Beam, Faddis, & Hahn (2011)",,,"0",,"98","99","197","TOWRE PDE","Alphabetics","0.02"
"5","System 44","Beam, Faddis, & Hahn (2011)",,,"0",,"98","99","197","TOWRE SWE","Alphabetics","-0.01"
"5","System 44","Beam, Faddis, & Hahn (2011)",,,"0",,"98","99","197","WJ-WA","Alphabetics","0.16"
"5","System 44","Beam, Faddis, & Hahn (2011)",,,"0",,"98","99","197","WJ-WID","Alphabetics","0.02"
"5","System 44","Beam, Faddis, & Hahn (2012)",,,"0",,"85","87","172","CTOPP-Elision","Alphabetics","0.26"
"5","System 44","Beam, Faddis, & Hahn (2012)",,,"0",,"85","87","172","TOSREC","Fluency","-0.15"
"5","System 44","Beam, Faddis, & Hahn (2012)",,,"0",,"85","87","172","TOWRE PDE","Alphabetics","0.09"
"5","System 44","Beam, Faddis, & Hahn (2012)",,,"0",,"85","87","172","TOWRE SWE","Alphabetics","0.17"
"5","Fast ForWord","Rouse & Krueger (2004)",,,"0",,"237","217","454","Connecticut Mastery Test","Achievement","0.05"
"5","Successmaker","Gatti (2013)",,,"0",,"154","138","292","AIMSweb R-CBM","Comprehension","0.03"
"5","Successmaker","Gatti (2013)",,,"0",,"154","138","292","GRADE-Passage Comp","Comprehension","0"
"5","Successmaker","Gatti (2013)",,,"0",,"154","138","292","GRADE-Sentence Comp","Comprehension","0.05"
"5","Successmaker","Gatti (2013)",,,"0",,"154","138","292","GRADE-Vocabulary","Comprehension","0.14"
"5","Successmaker","Gatti (2013)",,,"0",,"154","138","292","GRADE-Word Reading","Comprehension","-0.02"
"5","New Heights Reading Program","Lesnick (2006)","30","29","59","classes","118","115","233","DIBELS","Fluency","-0.04"
"5","New Heights Reading Program","Lesnick (2006)","30","29","59","classes","118","115","233","DRP","Comprehension","0.07"
"5","New Heights Reading Program","Lesnick (2006)","30","29","59","classes","118","115","233","TOWRE","Alphabetics","-0.02"
"5","Lexia Core5","Vanacore & Hurwitz (2020)","3","2","5","schools","65","50","115","MAP","Achievement","0.23"
"5","Vocabulators","Fogarty et al. (2020)",,,"0",,"92","92","184","GMRT: Comprehension","Comprehension","0.01"
"5","Vocabulators","Fogarty et al. (2020)",,,"0",,"92","92","184","GMRT: Vocabulary","Comprehension","0.04"
"5","Vocabulators","Fogarty et al. (2020)",,,"0",,"91","93","184","QRI: Informational retell","Comprehension","0.19"
"5","Vocabulators","Fogarty et al. (2020)",,,"0",,"90","93","183","QRI: Narrative retell","Comprehension","0.19"
"5","iRead","Hamilton et al. (2016)","8","8","16","schools","62","67","129","GRADE-Sentence Comprehension","Comprehension","0.33"
"5","iRead","Hamilton et al. (2016)","8","8","16","schools","68","68","136","GRADE-Word Meaning","Comprehension","0.23"
"5","iRead","Hamilton et al. (2016)","8","8","16","schools","68","70","138","GRADE-Word Reading","Alphabetics","0.13"
